,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min)
1,0x4607_x,INDORES13DEL02,37,4.900000,22.745049,75.892471,22.765049,75.912471,11:30,11:45,4,0,2,3,3,0.0,1,3,24.000000
2,0xb379_x,BANGRES18DEL02,34,4.500000,12.913041,77.683237,13.043041,77.813237,19:45,19:50,3,1,2,3,4,1.0,1,1,33.000000
3,0x20f7_x,BANGRES18DEL01,37,4.400000,12.913041,77.683237,12.953041,77.723237,13:50,13:55,6,0,0,0,3,2.0,1,1,42.000000
4,0x7804_x,HYDRES13DEL02,28,4.900000,17.431477,78.40035,17.451477,78.42035,10:60,11:15,2,2,1,2,4,1.0,1,3,19.000000
5,0x7faf_x,RANCHIRES07DEL01,37,4.600000,23.359407,85.325055,23.429407,85.395055,23:50,23:60,3,2,0,2,3,1.0,1,1,25.000000
6,0x5218_x,BANGRES02DEL02,20,4.700000,12.970221,77.645396,13.100221,77.775396,17:60,18:10,4,3,1,1,4,0.0,1,1,14.000000
7,0xcafe_x,ALHRES13DEL02,32,4.800000,25.451646,81.832796,25.581646,81.962796,22:15,22:25,3,2,2,0,4,1.0,1,4,29.000000
8,0x8c03_x,COIMBRES09DEL01,34,5.000000,11.008638,76.984311,11.078638,77.054311,18:30,18:45,2,3,1,0,3,1.0,1,3,22.000000
9,0xceec_x,KNPRES04DEL03,37,4.600000,26.471529,80.313458,26.501529,80.343458,17:50,17:60,1,3,0,0,3,1.0,1,1,28.000000
10,0x38c6_x,JAPRES11DEL01,24,4.800000,26.90294,75.793007,26.94294,75.833007,13:20,13:25,6,0,2,2,2,0.0,1,3,12.000000
11,0x5d6d,BANGRES19DEL01,23,4.400000,12.914264,77.6784,12.924264,77.6884,8:30,8:45,2,2,0,1,3,1.0,1,3,26.000000
12,0xfb5,VADRES05DEL01,23,4.200000,22.310526,73.170937,22.380526,73.240937,18:50,18:55,3,3,0,0,3,1.0,1,3,35.000000
13,0xa4a2,COIMBRES010DEL03,34,4.800000,11.003008,76.97544,11.093008,77.06544,23:55,23:60,3,2,2,2,2,1.0,1,1,27.000000
14,0x81ae,PUNERES17DEL03,22,4.700000,18.530963,73.828972,18.560963,73.858972,23:35,23:40,4,2,2,1,4,0.0,1,4,22.000000
15,0xb52d,VADRES04DEL03,21,5.00,0.0,0.0,0.03,0.03,17:35,17:45,1,3,0,3,3,0.0,1,1,20.00
