Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,2790,1,0,839,1,18,41,12,50,2,0,0,110,85,23,29,1712,1839,2,135
0,4520,2,0,1118,3,18,42,12,50,3,1,0,88,224,23,29,1690,1854,2,135
0,4882,3,0,1174,4,112,43,12,50,3,0,2,74,212,130,29,1722,1851,2,135
0,1027,2,0,1291,1,112,46,12,50,4,1,0,198,313,32,29,1788,1932,2,135
0,6101,1,0,1193,1,112,50,12,50,2,0,2,209,143,17,29,1737,1869,2,135
0,535,1,0,878,1,18,50,12,50,3,0,2,174,78,23,29,1808,1926,2,135
0,4170,2,0,1050,4,112,7,12,50,3,1,2,168,287,121,29,1702,1885,2,135
0,1021,1,2,544,1,18,7,12,50,2,1,1,0,111,125,29,1713,1886,2,135
0,1533,1,0,1027,1,80,12,12,50,2,0,2,191,117,17,29,1695,1904,2,135
0,4244,2,0,948,1,80,14,12,50,3,1,1,67,149,10,29,1744,1832,2,135
0,5618,2,0,932,1,86,14,12,50,2,0,1,92,134,17,29,1792,1886,2,135
0,4264,1,0,706,1,18,16,12,50,2,0,1,104,76,101,29,1806,1948,2,135
0,3395,3,0,1039,0,82,17,12,50,4,1,2,730,202,23,29,1721,1865,2,135
0,5083,1,2,224,1,39,18,12,50,2,0,1,0,54,86,29,1800,1896,2,135
0,4806,1,0,879,0,18,18,12,50,2,1,1,78,202,129,29,1712,1906,2,135
0,4473,1,0,1030,1,98,19,12,50,2,0,0,101,95,23,29,1711,1850,2,135
0,4427,2,0,1107,0,112,24,12,50,3,2,1,120,258,128,29,1798,1943,2,135
0,1470,1,0,905,1,112,24,12,50,2,1,2,52,188,40,29,1812,1865,2,135
0,5155,2,0,1013,1,18,28,12,50,3,0,1,122,180,66,29,1810,1875,2,135
0,789,0,2,192,1,112,29,12,50,1,0,1,0,43,129,29,1747,1880,2,135
0,4414,1,0,934,1,80,32,12,50,2,0,0,116,105,23,29,1799,1872,2,135
0,4365,2,0,944,3,80,32,12,50,3,1,1,74,188,114,29,1790,1869,2,135
0,2405,1,0,823,1,112,33,12,50,2,0,0,136,90,23,29,1792,1904,2,135
0,2926,1,0,835,1,18,40,12,50,2,0,1,126,88,49,29,1700,1856,2,135
2,1453,2,1,647,0,112,38,107,30,3,1,1,256,330,132,21,2965,529,6,111
2,4715,2,0,523,4,112,39,107,30,3,1,1,0,216,81,21,2937,504,6,111
2,4715,2,0,569,3,112,42,107,30,3,1,1,0,216,81,21,2937,504,6,111
2,2651,1,0,356,1,112,42,107,30,2,0,1,225,94,66,21,2837,659,6,111
2,448,2,1,484,1,21,42,107,30,3,1,2,192,199,125,21,2921,606,6,111
2,326,2,0,349,1,96,42,107,30,2,0,1,243,164,96,21,2861,492,6,111
2,2233,1,2,224,4,12,42,107,30,2,0,1,122,98,127,21,2925,640,6,111
2,734,5,0,516,3,12,46,107,30,6,2,2,877,281,96,21,2897,482,6,111
2,2139,1,1,175,1,12,46,107,30,2,0,1,64,104,131,21,2924,455,6,111
2,3275,1,2,244,1,12,47,107,30,2,0,1,95,76,129,21,2834,662,6,111
2,2280,1,2,263,1,112,1,107,30,2,0,1,74,111,128,21,2904,543,6,111
2,3141,2,0,713,0,152,1,107,30,3,0,6,917,198,91,21,2885,474,6,111
2,1084,2,0,612,1,112,2,107,30,3,0,1,0,134,66,21,2922,533,6,111
2,353,2,2,548,1,112,3,107,30,3,0,1,218,192,109,21,2830,628,6,111
2,2215,2,1,484,0,21,12,107,30,3,1,2,119,198,125,21,2864,646,6,111
2,1768,2,0,636,1,12,13,107,30,3,0,2,873,155,76,21,2958,507,6,111
2,1675,1,0,454,1,12,14,107,30,2,0,1,562,122,91,21,2956,512,6,111
2,1207,2,0,845,1,112,14,107,30,3,1,5,562,258,66,21,2974,549,6,111
2,5002,3,0,573,1,21,16,107,30,5,2,4,481,416,96,21,2868,431,6,111
2,4424,2,0,617,0,12,17,107,30,3,2,2,505,289,96,21,2848,446,6,111
2,1329,2,0,506,1,152,17,107,30,3,1,2,374,183,111,21,2989,543,6,111
2,3392,2,1,275,3,112,18,107,30,2,1,1,115,124,126,21,2908,558,6,111
2,3776,2,1,631,3,12,19,107,30,3,1,1,246,129,76,21,2941,526,6,111
2,503,2,0,468,1,12,22,107,30,3,0,1,529,155,91,21,2914,479,6,111
2,5861,3,0,718,1,66,32,107,30,4,1,3,578,217,91,21,2879,486,6,111
4,647,1,0,1003,1,196,38,19,158,2,0,0,74,90,23,24,1175,1394,5,104
4,831,2,0,1471,0,25,42,19,158,3,1,0,165,299,17,24,1146,1333,5,104
4,6064,2,0,1279,1,62,42,19,158,3,1,0,82,198,17,24,1182,1320,5,104
4,3871,1,0,1103,1,141,42,19,158,2,0,0,84,88,23,24,1210,1404,5,104
4,635,3,0,1391,1,98,46,19,158,4,1,1,107,267,10,24,1188,1362,5,104
4,58,2,0,1260,4,62,47,19,158,3,1,1,86,238,112,24,1236,1359,5,104
4,3043,1,0,1350,1,62,1,19,158,2,0,1,153,143,23,24,1226,1392,5,104
4,2725,2,0,1260,1,98,1,19,158,3,1,1,44,175,23,24,1228,1410,5,104
4,1924,2,0,1444,1,32,2,19,158,3,1,1,131,270,10,24,1236,1425,5,104
4,4489,2,0,1061,1,62,5,19,158,3,1,2,0,95,116,24,1183,1348,5,104
4,5248,1,0,1035,1,62,12,19,158,2,0,0,103,118,17,24,1195,1309,5,104
4,3755,1,0,1158,1,62,12,19,158,2,0,0,95,93,17,24,1223,1400,5,104
4,5868,2,0,1326,4,141,13,19,158,3,1,1,165,218,23,24,1159,1415,5,104
4,6097,2,0,1486,1,62,17,19,158,3,1,0,101,217,17,24,1155,1390,5,104
4,4879,3,0,1465,4,32,18,19,158,4,2,1,280,361,32,24,1165,1303,5,104
4,4871,2,0,1346,3,98,25,19,158,2,0,1,74,177,23,24,1218,1385,5,104
4,4472,2,0,1326,0,98,27,19,158,3,0,1,191,194,17,24,1173,1368,5,104
4,1163,0,2,168,1,98,28,19,158,1,0,0,0,22,86,24,1228,1357,5,104
4,859,3,0,1554,1,98,28,19,158,4,1,1,283,310,32,24,1149,1398,5,104
4,2919,3,0,1355,1,62,31,19,158,3,1,1,137,216,10,24,1208,1326,5,104
4,4972,1,0,793,1,62,33,19,158,2,0,0,34,67,17,24,1269,1358,5,104
4,1631,2,0,1240,0,98,34,19,158,3,1,2,101,199,17,24,1187,1284,5,104
4,5924,0,0,796,1,98,40,19,158,1,0,0,36,48,23,24,1240,1331,5,104
6,5034,3,0,1326,1,20,38,45,59,3,1,4,795,370,49,6,2276,2376,2,54
6,4331,3,0,1231,1,39,50,45,59,4,1,1,549,306,45,6,2258,2367,2,54
6,5845,4,0,1470,1,112,5,45,59,5,3,4,758,244,32,6,2208,2318,2,54
6,3274,1,2,257,1,105,7,45,59,2,0,1,42,54,76,6,2146,2358,2,54
6,4023,1,1,612,1,105,7,45,59,2,1,3,109,210,120,6,2129,2362,2,54
6,469,3,0,1273,1,112,19,45,59,4,1,2,556,153,86,6,2217,2374,2,54
6,3801,3,0,1346,1,112,19,45,59,4,1,2,525,381,124,6,2248,2378,2,54
6,3106,2,0,676,3,196,22,45,59,3,0,1,134,194,126,6,2132,2289,2,54
6,4678,1,2,109,4,112,22,45,59,2,0,1,0,54,76,6,2170,2373,2,54
6,152,1,2,241,1,93,28,45,59,2,0,1,0,55,81,6,2128,2309,2,54
