Country,Happiness rank,Happiness Score,GDP per capita,Social support,Healthy life,Freedom,Generosity,Corruption,Year
Finland,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2019
Denmark,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2019
Norway,3,7.554,1.488,1.582,1.028,0.603,0.271,0.341,2019
Iceland,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019
Netherlands,5,7.488,1.396,1.522,0.999,0.557,0.322,0.298,2019
Switzerland,6,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019
Sweden,7,7.343,1.387,1.487,1.009,0.574,0.267,0.373,2019
New Zealand,8,7.307,1.303,1.557,1.026,0.585,0.33,0.38,2019
Canada,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308,2019
Austria,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019
Australia,11,7.228,1.372,1.548,1.036,0.557,0.332,0.29,2019
Costa Rica,12,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2019
Israel,13,7.139,1.276,1.455,1.029,0.371,0.261,0.082,2019
Luxembourg,14,7.09,1.609,1.479,1.012,0.526,0.194,0.316,2019
United Kingdom,15,7.054,1.333,1.538,0.996,0.45,0.348,0.278,2019
Ireland,16,7.021,1.499,1.553,0.999,0.516,0.298,0.31,2019
Germany,17,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2019
Belgium,18,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2019
United States,19,6.892,1.433,1.457,0.874,0.454,0.28,0.128,2019
Czech Republic,20,6.852,1.269,1.487,0.92,0.457,0.046,0.036,2019
United Arab Emirates,21,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2019
Malta,22,6.726,1.3,1.52,0.999,0.564,0.375,0.151,2019
Mexico,23,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2019
France,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2019
Taiwan,25,6.446,1.368,1.43,0.914,0.351,0.242,0.097,2019
Chile,26,6.444,1.159,1.369,0.92,0.357,0.187,0.056,2019
Guatemala,27,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2019
Saudi Arabia,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2019
Qatar,29,6.374,1.684,1.313,0.871,0.555,0.22,0.167,2019
Spain,30,6.354,1.286,1.484,1.062,0.362,0.153,0.079,2019
Panama,31,6.321,1.149,1.442,0.91,0.516,0.109,0.054,2019
Brazil,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019
Uruguay,33,6.293,1.124,1.465,0.891,0.523,0.127,0.15,2019
Singapore,34,6.262,1.572,1.463,1.141,0.556,0.271,0.453,2019
El Salvador,35,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2019
Italy,36,6.223,1.294,1.488,1.039,0.231,0.158,0.03,2019
Bahrain,37,6.199,1.362,1.368,0.871,0.536,0.255,0.11,2019
Slovakia,38,6.198,1.246,1.504,0.881,0.334,0.121,0.014,2019
Trinidad & Tobago,39,6.192,1.231,1.477,0.713,0.489,0.185,0.016,2019
Poland,40,6.182,1.206,1.438,0.884,0.483,0.117,0.05,2019
Uzbekistan,41,6.174,0.745,1.529,0.756,0.631,0.322,0.24,2019
Lithuania,42,6.149,1.238,1.515,0.818,0.291,0.043,0.042,2019
Colombia,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2019
Slovenia,44,6.118,1.258,1.523,0.953,0.564,0.144,0.057,2019
Nicaragua,45,6.105,0.694,1.325,0.835,0.435,0.2,0.127,2019
Kosovo,46,6.1,0.882,1.232,0.758,0.489,0.262,0.006,2019
Argentina,47,6.086,1.092,1.432,0.881,0.471,0.066,0.05,2019
Romania,48,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2019
Cyprus,49,6.046,1.263,1.223,1.042,0.406,0.19,0.041,2019
Ecuador,50,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2019
Kuwait,51,6.021,1.5,1.319,0.808,0.493,0.142,0.097,2019
Thailand,52,6.008,1.05,1.409,0.828,0.557,0.359,0.028,2019
Latvia,53,5.94,1.187,1.465,0.812,0.264,0.075,0.064,2019
South Korea,54,5.895,1.301,1.219,1.036,0.159,0.175,0.056,2019
Estonia,55,5.893,1.237,1.528,0.874,0.495,0.103,0.161,2019
Jamaica,56,5.89,0.831,1.478,0.831,0.49,0.107,0.028,2019
Mauritius,57,5.888,1.12,1.402,0.798,0.498,0.215,0.06,2019
Japan,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14,2019
Honduras,59,5.86,0.642,1.236,0.828,0.507,0.246,0.078,2019
Kazakhstan,60,5.809,1.173,1.508,0.729,0.41,0.146,0.096,2019
Bolivia,61,5.779,0.776,1.209,0.706,0.511,0.137,0.064,2019
Hungary,62,5.758,1.201,1.41,0.828,0.199,0.081,0.02,2019
Paraguay,63,5.743,0.855,1.475,0.777,0.514,0.184,0.08,2019
Northern Cyprus,64,5.718,1.263,1.252,1.042,0.417,0.191,0.162,2019
Peru,65,5.697,0.96,1.274,0.854,0.455,0.083,0.027,2019
Portugal,66,5.693,1.221,1.431,0.999,0.508,0.047,0.025,2019
Pakistan,67,5.653,0.677,0.886,0.535,0.313,0.22,0.098,2019
Russia,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031,2019
Philippines,69,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2019
Serbia,70,5.603,1.004,1.383,0.854,0.282,0.137,0.039,2019
Moldova,71,5.529,0.685,1.328,0.739,0.245,0.181,,2019
Libya,72,5.525,1.044,1.303,0.673,0.416,0.133,0.152,2019
Montenegro,73,5.523,1.051,1.361,0.871,0.197,0.142,0.08,2019
Tajikistan,74,5.467,0.493,1.098,0.718,0.389,0.23,0.144,2019
Croatia,75,5.432,1.155,1.266,0.914,0.296,0.119,0.022,2019
