Agencia_ID,Town,State
1110,2008 AG. LAGO FILT,"MÉXICO, D.F."
1111,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
1112,2004 AG. CUAUTITLAN,ESTADO DE MÉXICO
1113,2008 AG. LAGO FILT,"MÉXICO, D.F."
1114,2029 AG.IZTAPALAPA 2,"MÉXICO, D.F."
1116,2011 AG. SAN ANTONIO,"MÉXICO, D.F."
1117,2001 AG. ATIZAPAN,ESTADO DE MÉXICO
1118,2007 AG. LA VILLA,"MÉXICO, D.F."
1119,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO
1120,2018 AG. TEPALCATES 2,"MÉXICO, D.F."
1121,2016 AG. SAN LORENZO,"MÉXICO, D.F."
1122,2019 AG. XALOSTOC,ESTADO DE MÉXICO
1123,2094 CHALCO_BM,ESTADO DE MÉXICO
1124,2021 AG. XOCHIMILCO 2,"MÉXICO, D.F."
1126,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
1127,2003 AG. COACALCO,ESTADO DE MÉXICO
1129,2011 AG. SAN ANTONIO,"MÉXICO, D.F."
1130,2010 AG. LOS REYES,ESTADO DE MÉXICO
1137,2014 AG. NEZA,ESTADO DE MÉXICO
1138,2015 AG. ROJO GOMEZ,"MÉXICO, D.F."
1139,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO
1140,2078 AG. TEXCOCO,ESTADO DE MÉXICO
1142,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO
1143,2088 AG. CEYLAN,"MÉXICO, D.F."
1146,2088 AG. CEYLAN,"MÉXICO, D.F."
1147,2003 AG. COACALCO,ESTADO DE MÉXICO
1150,2011 AG. SAN ANTONIO,"MÉXICO, D.F."
1152,2008 AG. LAGO FILT,"MÉXICO, D.F."
1153,2087 AG. TIZAYUCA,HIDALGO
1155,2003 AG. COACALCO,ESTADO DE MÉXICO
1156,2018 AG. TEPALCATES 2,"MÉXICO, D.F."
1159,2011 AG. SAN ANTONIO,"MÉXICO, D.F."
1160,2089 AG. AZCAPOTZALCO INSTITUCIONALES,"MÉXICO, D.F."
1161,2089 AG. AZCAPOTZALCO INSTITUCIONALES,"MÉXICO, D.F."
1164,2048 AG. IXTAPALUCA 1,ESTADO DE MÉXICO
1165,2010 AG. LOS REYES,ESTADO DE MÉXICO
1167,2116 Cruce De Anden Región Mexico,ESTADO DE MÉXICO
1168,2092 AG. SANTA CLARA AUTOSERVICIOS,ESTADO DE MÉXICO
1170,2001 AG. ATIZAPAN,ESTADO DE MÉXICO
1171,2001 AG. ATIZAPAN,ESTADO DE MÉXICO
1172,2004 AG. CUAUTITLAN,ESTADO DE MÉXICO
1173,2004 AG. CUAUTITLAN,ESTADO DE MÉXICO
1176,2019 AG. XALOSTOC,ESTADO DE MÉXICO
1177,2048 AG. IXTAPALUCA 1,ESTADO DE MÉXICO
1179,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
1210,2059 Queretaro Balvanera,Queretaro de Arteaga
1211,2027 AG. VALLEJO,"MÉXICO, D.F."
1212,2064 AG. TEPALCATES 1,"MÉXICO, D.F."
1213,2041 AG. TULTITLAN,ESTADO DE MÉXICO
1215,2049 AG. IZTAPALAPA 1,"MÉXICO, D.F."
1216,2007 AG. LA VILLA,"MÉXICO, D.F."
1217,2050 AG. MIXCOAC,"MÉXICO, D.F."
1218,2040 AG. CENTRO,"MÉXICO, D.F."
1219,2042 AG. TEPOZOTLAN,ESTADO DE MÉXICO
1220,2048 AG. IXTAPALUCA 1,ESTADO DE MÉXICO
1221,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO
1222,2088 AG. CEYLAN,"MÉXICO, D.F."
1223,2070 AG. XOCHIMILCO 1,"MÉXICO, D.F."
1224,2019 AG. XALOSTOC,ESTADO DE MÉXICO
1227,2066 TOLUCA PONIENTE,ESTADO DE MÉXICO
1228,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO
1229,2056 PUEBLA NORTE MARINELA,PUEBLA
1232,2059 Queretaro Balvanera,Queretaro de Arteaga
1235,2057 PUEBLA SUR MARINELA,PUEBLA
1236,2056 PUEBLA NORTE MARINELA,PUEBLA
1237,2063 TEHUACAN MARINELA,PUEBLA
1238,2053 OAXACA MARINELA,OAXACA
1239,2044 CUERNAVACA BUENAVISTA,MORELOS
1242,2034 ACAPULCO COSTERA,GUERRERO
1243,2065 TOLUCA CENTRO,ESTADO DE MÉXICO
1245,2036 APIZACO MARINELA,TLAXCALA
1250,2029 AG.IZTAPALAPA 2,"MÉXICO, D.F."
1252,2064 AG. TEPALCATES 1,"MÉXICO, D.F."
1253,2175 TOLUCA AEROPUERTO,ESTADO DE MÉXICO
1255,2088 AG. CEYLAN,"MÉXICO, D.F."
1259,2011 AG. SAN ANTONIO,"MÉXICO, D.F."
1261,2031 AG. PANTITLAN,"MÉXICO, D.F."
1262,2048 AG. IXTAPALUCA 1,ESTADO DE MÉXICO
1273,2044 CUERNAVACA BUENAVISTA,MORELOS
1275,2070 AG. XOCHIMILCO 1,"MÉXICO, D.F."
1276,2041 AG. TULTITLAN,ESTADO DE MÉXICO
1277,2089 AG. AZCAPOTZALCO INSTITUCIONALES,"MÉXICO, D.F."
1279,2041 AG. TULTITLAN,ESTADO DE MÉXICO
1281,2070 AG. XOCHIMILCO 1,"MÉXICO, D.F."
1310,2260 GONZALEZ GALLO,JALISCO
1311,2273 SAN PEDRO,JALISCO
1312,2278 ZAPOPAN BIMBO,JALISCO
